     100 files     149 text files.
classified 149 filesDuplicate file check 149 files (144 known unique)Unique:      100 files                                               149 unique files.                              
Counting:  100      33 files ignored.

http://cloc.sourceforge.net v 1.64  T=0.22 s (640.3 files/s, 42399.4 lines/s)
------------------------------------------------------------------------------------------------
File                                                         blank        comment           code
Core\Resources\ResourcesInclude.h                                1              0              9
Core\Systems\SystemsInclude.h                                    1              0              8
Core\Engine\Archetype.h                                          8             11              8
Core\Resources\Level.cpp                                         7             12              8
Core\Config.h                                                    7              0              8
Core\Objects\DebugDraw\DrawLine.h                                8              0              8
Core\Objects\DebugDraw\DrawRectangle.h                           4              0              7
Core\EventsInclude.h                                             6             12              7
Core\Objects\DebugDraw\DrawCircle.h                              4              0              7
Core\Resources\Material.h                                        7              0              6
Core\Objects\Entities\EntitiesInclude.h                          1              0              6
Core\Systems\Graphics\GraphicsGLDebugDraw.cpp                    6              9              5
Core\Components\EngineReference.h                                3              0              5
Core\Systems\System.cpp                                          3              9              4
Core\Systems\Physics\Manifold.cpp                                1              0              4
Core\Components\ProjectSetup.h                                   4              4              4
Core\Objects\DebugDraw\DebugDrawInclude.h                        1              0              4
Core\Objects\ObjectsInclude.h                                    1              0              4
Core\Engine\Delegate.cpp                                         3             89              3
Core\Engine\Serializer.h                                        53            139              3
Core\Components\ComponentReference.h                             0              0              2
Core\Events\EventReference.h                                     0              0              2
Core\Testing.h                                                   0              0              2
Core\Engine\ZilchEvent.h                                         0              0              2
Core\Resources\ResourceReference.h                               0              0              2
Core\Components\DebugDrawReference.h                             0              0              2
------------------------------------------------------------------------------------------------
SUM:                                                          1831           2852           4522
------------------------------------------------------------------------------------------------
