File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
E:\GAM200.git\DCEngine\Core\Systems\Input\InputSFML.cpp,InputSFML::Initialize(),9,4,2,0,2,0,3,7,
E:\GAM200.git\DCEngine\Core\Systems\Input\InputSFML.cpp,InputSFML::Update(float dt),2,2,2,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Input\InputSFML.cpp,InputSFML::PollEvents(),6,4,3,1,1,0,1,11,
E:\GAM200.git\DCEngine\Core\Systems\Input\InputSFML.cpp,InputSFML::PollKeyboard(sf::Event& event),7,3,2,1,3,0,1,4,
E:\GAM200.git\DCEngine\Core\Systems\Input\InputSFML.cpp,InputSFML::Terminate(),1,1,1,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Window\Window.cpp,Window::Window(),8,8,5,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Window\Window.cpp,Window::~Window(),1,1,1,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Window\Window.cpp,Window::Initialize(),10,6,5,1,1,0,3,19,
E:\GAM200.git\DCEngine\Core\Systems\Window\Window.cpp,Window::Update(float dt),5,4,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Window\Window.cpp,Window::Terminate(),5,4,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Window\Window.cpp,Window::StartFrame(),5,4,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Window\Window.cpp,Window::EndFrame(),5,4,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Window\WindowGLFW.cpp,WindowGLFW::WindowGLFW(),1,1,1,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Window\WindowGLFW.cpp,WindowGLFW::Initialize(),40,17,14,2,7,0,16,148,
E:\GAM200.git\DCEngine\Core\Systems\Window\WindowGLFW.cpp,WindowGLFW::Update(float dt),4,3,3,0,0,0,1,4,
E:\GAM200.git\DCEngine\Core\Systems\Window\WindowGLFW.cpp,WindowGLFW::Terminate(),2,2,2,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Window\WindowGLFW.cpp,WindowGLFW::StartFrame(),7,4,4,0,1,2,2,16,
E:\GAM200.git\DCEngine\Core\Systems\Window\WindowGLFW.cpp,WindowGLFW::EndFrame(),6,2,2,0,0,0,4,40,
E:\GAM200.git\DCEngine\Core\Systems\Window\WindowGLFW.cpp,"WindowGLFW::SetWindowSize(int width, int height)",3,3,3,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Window\WindowGLFW.cpp,WindowGLFW::SetWindowCaption(std::string caption),2,2,2,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Window\WindowGLFW.cpp,WindowGLFW::ViewportUpdate(),3,2,2,0,1,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Window\WindowGLFW.cpp,WindowGLFW::PollEvents(),14,5,4,1,2,0,7,64,
E:\GAM200.git\DCEngine\Core\Systems\Window\WindowSFML.cpp,WindowSFML::WindowSFML(),1,1,1,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Window\WindowSFML.cpp,WindowSFML::~WindowSFML(),1,1,1,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Window\WindowSFML.cpp,WindowSFML::Initialize(),33,16,14,2,5,0,12,93,
E:\GAM200.git\DCEngine\Core\Systems\Window\WindowSFML.cpp,WindowSFML::Update(float dt),10,4,3,1,3,0,3,31,
E:\GAM200.git\DCEngine\Core\Systems\Window\WindowSFML.cpp,WindowSFML::StartFrame(),4,4,4,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Window\WindowSFML.cpp,WindowSFML::EndFrame(),5,2,2,0,0,0,3,27,
E:\GAM200.git\DCEngine\Core\Systems\Window\WindowSFML.cpp,WindowSFML::Terminate(),3,3,3,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Window\WindowSFML.cpp,"WindowSFML::SetWindowSize(int width, int height)",3,3,3,0,0,0,0,0,
E:\GAM200.git\DCEngine\Core\Systems\Window\WindowSFML.cpp,WindowSFML::SetWindowCaption(std::string caption),2,2,2,0,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\dummy.cpp,"computeNormal( glm::vec3 const & a, glm::vec3 const & b, glm::vec3 const & c )",2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\dummy.cpp,"glUniformMatrix4fv(GLuint, int, int, float*)",1,1,1,0,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\dummy.cpp,"func(GLuint LocationMVP, float Translate, glm::vec2 const & Rotate)",8,8,8,0,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\dummy.cpp,main(),2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\setup.hpp,_mm_cvtss_f32(__m128 A),1,1,1,0,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\setup.hpp,_mm_castpd_ps(__m128d PD),1,1,2,0,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\setup.hpp,_mm_castps_pd(__m128 PS),1,1,2,0,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\setup.hpp,_mm_castps_si128(__m128 PS),1,1,2,0,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\setup.hpp,_mm_castsi128_ps(__m128i PI),1,1,2,0,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\type_gentype.hpp,"genType<VALTYPE, TYPE>::is_vector()",2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\_noise.hpp,mod289(T const & x),2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\_noise.hpp,permute(T const & x),2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\_noise.hpp,"permute(tvec2<T, P> const & x)",2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\_noise.hpp,"permute(tvec3<T, P> const & x)",2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\_noise.hpp,"permute(tvec4<T, P> const & x)",2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\_noise.hpp,taylorInvSqrt(T const & r),2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\_noise.hpp,"taylorInvSqrt(detail::tvec2<T, P> const & r)",2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\_noise.hpp,"taylorInvSqrt(detail::tvec3<T, P> const & r)",2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\_noise.hpp,"taylorInvSqrt(detail::tvec4<T, P> const & r)",2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\_noise.hpp,"fade(detail::tvec2<T, P> const & t)",2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\_noise.hpp,"fade(detail::tvec3<T, P> const & t)",2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\_noise.hpp,"fade(detail::tvec4<T, P> const & t)",2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\_swizzle.hpp,"_swizzle_base2<ValueType, P, VecType, N,E0,E1,E2,E3,(E0==E1||E0==E2||E0==E3||E1==E2||E1==E3||E2==E3)",6,4,4,0,2,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\_swizzle.hpp,"FUNCTION(const _GLM_SWIZZLE_TYPE1& a, const typename S0::vec_type& b, const T& c)",2,2,1,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,abs( genFIType const & x ),2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,sign( genFIType const & x ),13,12,7,2,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,floor(genType const & x),6,5,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,trunc(genType const & x),7,5,3,1,1,0,1,4,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,round(genType const& x),7,5,3,1,1,0,1,4,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,roundEven(genType const & x),29,23,13,5,2,1,4,20,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,ceil(genType const & x),6,5,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,fract( genType const & x ),6,5,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"mod( genType const & x, genType const & y )",6,5,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"modf( genType const & x, genType & i )",6,5,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"modf( detail::tvec2<T, P> const & x, detail::tvec2<T, P> & i )",4,4,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"modf( detail::tvec3<T, P> const & x, detail::tvec3<T, P> & i )",5,5,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"modf( detail::tvec4<T, P> const & x, detail::tvec4<T, P> & i )",6,6,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"min( genType const & x, genType const & y )",6,5,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"max( genType const & x, genType const & y )",6,5,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"clamp( genType const & x, genType const & minVal, genType const & maxVal )",6,5,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"clamp( detail::tvec2<T, P> const & x, T const & minVal, T const & maxVal )",8,7,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"clamp( detail::tvec3<T, P> const & x, T const & minVal, T const & maxVal )",9,8,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"clamp( detail::tvec4<T, P> const & x, T const & minVal, T const & maxVal )",10,9,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"clamp( detail::tvec2<T, P> const & x, detail::tvec2<T, P> const & minVal, detail::tvec2<T, P> const & maxVal )",8,7,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"clamp( detail::tvec3<T, P> const & x, detail::tvec3<T, P> const & minVal, detail::tvec3<T, P> const & maxVal )",9,8,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"clamp( detail::tvec4<T, P> const & x, detail::tvec4<T, P> const & minVal, detail::tvec4<T, P> const & maxVal )",10,9,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"mix( vecType<T, P> const & x, vecType<T, P> const & y, vecType<U, P> const & a )",2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"mix( vecType<T, P> const & x, vecType<T, P> const & y, U const & a )",2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"mix( genTypeT const & x, genTypeT const & y, genTypeU const & a )",2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"step( genType const & edge, genType const & x )",2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"step( T const & edge, vecType<T, P> const & x )",6,5,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"smoothstep( genType const & edge0, genType const & edge1, genType const & x )",7,6,4,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"smoothstep( T const & edge0, T const & edge1, detail::tvec2<T, P> const & x )",8,7,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"smoothstep( T const & edge0, T const & edge1, detail::tvec3<T, P> const & x )",9,8,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"smoothstep( T const & edge0, T const & edge1, detail::tvec4<T, P> const & x )",10,9,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"smoothstep( detail::tvec2<T, P> const & edge0, detail::tvec2<T, P> const & edge1, detail::tvec2<T, P> const & x )",8,7,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"smoothstep( detail::tvec3<T, P> const & edge0, detail::tvec3<T, P> const & edge1, detail::tvec3<T, P> const & x )",9,8,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"smoothstep( detail::tvec4<T, P> const & edge0, detail::tvec4<T, P> const & edge1, detail::tvec4<T, P> const & x )",10,9,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,isnan(genType const & x),18,17,7,5,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"isnan( detail::tvec2<T, P> const & x )",8,7,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"isnan( detail::tvec3<T, P> const & x )",9,8,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"isnan( detail::tvec4<T, P> const & x )",10,9,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,isinf( genType const & x),19,17,7,5,1,0,1,1,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"isinf( detail::tvec2<T, P> const & x )",8,7,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"isinf( detail::tvec3<T, P> const & x )",9,8,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"isinf( detail::tvec4<T, P> const & x )",10,9,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,floatBitsToInt(float const & v),2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"floatBitsToInt(vecType<float, P> const & v)",2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,floatBitsToUint(float const & v),2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"floatBitsToUint(vecType<float, P> const & v)",2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,intBitsToFloat(int const & v),2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"intBitsToFloat(vecType<int, P> const & v)",2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,uintBitsToFloat(uint const & v),2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"uintBitsToFloat(vecType<uint, P> const & v)",2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"fma( genType const & a, genType const & b, genType const & c )",2,2,2,1,0,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"frexp( genType const & x, int & exp )",6,5,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"frexp( detail::tvec2<T, P> const & x, detail::tvec2<int, P> & exp )",8,7,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"frexp( detail::tvec3<T, P> const & x, detail::tvec3<int, P> & exp )",9,8,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"frexp( detail::tvec4<T, P> const & x, detail::tvec4<int, P> & exp )",10,9,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"ldexp( genType const & x, int const & exp )",6,5,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"ldexp( detail::tvec2<T, P> const & x, detail::tvec2<int, P> const & exp )",8,7,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"ldexp( detail::tvec3<T, P> const & x, detail::tvec3<int, P> const & exp )",9,8,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_common.inl,"ldexp( detail::tvec4<T, P> const & x, detail::tvec4<int, P> const & exp )",10,9,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_exponential.inl,"pow( genType const & x, genType const & y )",6,5,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_exponential.inl,exp( genType const & x ),6,5,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_exponential.inl,log( genType const & x ),6,5,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_exponential.inl,exp2(genType const & x),6,5,3,1,1,0,0,0,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_exponential.inl,log2(genType x),6,5,4,1,1,1,0,9,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_exponential.inl,sqrt(float x),7,7,4,2,0,1,0,9,
E:\GAM200.git\DCEngine\Dependencies\include\GLM\detail\func_exponential.inl,sqrt(double x),7,7,4,2,0,1,0,9,
