File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLCameraTutorial.cpp,GLCameraTutorial::Serialize(Json::Value & root),1,1,1,0,0,0,0,0,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLCameraTutorial.cpp,GLCameraTutorial::Deserialize(Json::Value & root),1,1,1,0,0,0,0,0,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLShaderTutorial.cpp,GLShaderTutorial::Initialize(),94,43,36,0,26,5,25,169,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLShaderTutorial.cpp,GLShaderTutorial::Update(),49,24,14,0,13,0,12,151,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLShaderTutorial.cpp,GLShaderTutorial::Terminate(),7,4,4,0,2,0,1,9,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLTextureTutorial.cpp,GLTextureTutorial::Initialize(),16,7,6,1,5,0,4,29,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLTextureTutorial.cpp,GLTextureTutorial::GenerateMesh(),43,26,20,0,4,6,13,104,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLTextureTutorial.cpp,"GLTextureTutorial::GenerateTexture(const std::string imagePath, GLuint& texture)",56,17,16,1,9,0,30,357,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLTextureTutorial.cpp,GLTextureTutorial::ApplyTransformation(),65,9,8,0,15,0,41,392,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLTextureTutorial.cpp,GLTextureTutorial::Update(),43,13,12,1,8,0,22,200,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLTextureTutorial.cpp,GLTextureTutorial::Terminate(),6,4,4,0,1,0,1,9,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLTriangle.cpp,GLTriangle::Initialize(),379,64,43,0,60,12,255,2348,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLTriangle.cpp,GLTriangle::Update(),40,11,7,0,4,0,25,260,
G:\Google Drive\Digipen Institute of Technology\GAM 200\Repository\DCEngine\Tutorials\OpenGL\GLTriangle.cpp,GLTriangle::Terminate(),7,4,4,0,2,0,1,9,
